name,count
httptcovka39dc8yr,1
cap,1
alliance,1
lockheed,1
martin,2
u,1
phoenix,1
ken,1
silverstein,1
httptcovufmh0xgo5,1
senate,5
report,6
apples,1
alleged,4
taxavoidance,1
tim,2
cook,2
testifying,1
tmrw,1
httptcomegdjiirh2,1
bow,1
restaurantapp,1
overlord,1
meet,1
zomato,1
indian,1
restaurant,1
app,2
httptcosnsb3rqong,1
alannapetroff,1
alanna,1
london,2
bureau,2
lately,2
oilprice,1
manipulation,3
httptcofujdmlkcak,1
excolleague,1
titthara,1
journo,1
httptcorckimewmze,1
christinamra,1
wouldnt,2
ive,3
describe,1
several,1
previous,1
occasions,1
all,7
social,2
networks,1
based,2
cognitive,1
con,1
felixsalmon,2
terminal,1
httptcocx3ckxyeor,1
multiple,1
secretaries,1
why,3
quit,1
emailand,1
httptcodeyhkvkurh,1
robosigning,1
california,3
ag,6
sues,3
creditcarddebt,1
httptcoglmfhofiot,1
hedgefund,2
billionaire,1
phil,1
falcone,2
agrees,1
twoyear,1
ban,2
httptcomcs1g0qqrp,1
gore,1
1999,1
january,1
httptcownnkdw2lu7,1
lock,1
talented,2
young,2
alone,1
httptcobnuo2r8gxq,1
agschneiderman,4
goes,2
wells,3
fargo,3
mortage,1
violations,2
httptcoqcnivibefx,1
nycgov,1
nycparks,1
officially,1
opened,1
beastieboys,1
adam,1
yauch,1
park,1
brooklyn,1
httptcot08zlrcu1s,1
anybody,1
else,2
nostalgic,1
riseabove,1
therapy,1
llamas,1
httptcokvfgnsc2my,1
mess,3
careless,1
nonchalant,1
httptcotpthblwher,1
bestparty,1
lawmakers,1
probe,1
fisker,1
electric,1
carmaker,1
struggles,1
avoid,2
bankruptcy,2
httptcohtfgpkuxs5,1
bangladesh,1
collapse,3
revives,1
safety,2
retailers,1
httptconmjgxkkjty,1
hospitals,1
hundreds,1
immigrants,2
including,1
comatose,1
httptcontugezmweb,1
reinhart,1
rogoff,1
perils,1
wonk,1
httptco1nkscjkb23,1
mantis,1
shrimp,1
genghis,1
khan,1
bathed,1
sherbet,1
ice,1
cream,1
httptcoypz4i1l91x,1
celebrating,1
httptconfpvcynroz,1
hunger,2
strikers,1
guantnamo,1
exposing,1
lawlessness,1
system,1
marooned,1
httptcorwnizoxfqs,1
bitcoins,1
disrupted,2
major,2
exchanges,1
cyberattacks,1
httptcoiyoivipaiu,1
being,3
wellcompensated,1
cnnbrk,1
louisvilles,1
kevin,1
ware,1
want,4
httptco9o3kmgf8dc,1
eu,1
trade,1
include,1
powers,1
corporations,1
httptcoptteqsedlg,1
shakespeare,1
taxevading,1
hoarder,1
httptcoaurjfnvm0u,1
httptcojgyz4rqf0i,1
ppp,1
voters,2
obama,5
antichrist,1
believe,4
paul,4
mccartney,1
died,2
1966,1
httptcocwhsogiafe,1
turning,1
heat,1
mogul,1
steven,2
cohen,1
httptcop1dbq3t4sb,1
exdoj,1
division,1
lanny,1
breuer,1
cashes,1
paid,5
4mmyr,1
whitecollar,2
defense,2
httptconuuqlaot4d,1
miikeberlin,1
davidgrann,1
day,6
struck,1
lightning,2
times,3
buried,1
alive,1
httptcoj77btb9ejr,1
ggreenwald,1
gay,1
marriage,1
trap,1
defeatism,1
httptcobefyli8ljl,1
wealthiest,1
donate,1
percent,3
poorest,1
32,1
httptcouvuzt04y4q,1
